name,cost,description,image,code,rating,availability
NIVEA VISAGE crema hidratante Q10 plus tarro 50 ml, 11.9,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTY4Nzd8aW1hZ2UvcG5nfGgwMy9oOWUvODgzNDczMTQwOTQzOC5wbmd8ZDdiMzBlYWI1Zjk3NGQ0M2YwOWUxZDBjNmEyM2YzNjViYWZkZWRmMTc4NTk3NmMxYWZkODZlNGQ0OTcxOWEyMw.png,24,null,1
COLGATE TOTAL pasta dentífrica protección completa tubo 75 ml, 2.35,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTE0NzV8aW1hZ2UvcG5nfGhiZS9oZGYvODgzNTM5NTU1MTI2Mi5wbmd8OGZkMzgyODFhOGQ1NmIzY2U0YzY2YTg3NjcwYTA1ZjcwMTY4ZTU3YTJkNDk2MTkzOThkNjNiODk5OWE2NDZiNQ.png,25,null,1
GILLETTE maquinilla desechable Venus Blue II Woman 2 hojas bolsa 5+1 gratis, 3.48,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTM5NDB8aW1hZ2UvcG5nfGg4My9oOTIvODgzNDAwMzMwNDQ3OC5wbmd8OWVlYWVkMmQ0NjhiMmIxMzM2NmFjMzYzYmMzNmI0ZWViN2FmNjc1ZDBmZjJkMDZmZjgwNTczZDUxMWU0MDZmMw.png,26,null,1
COLGATE PLAX enjuague bucal triple acción botella 500ml, 2.99,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTE5Njd8aW1hZ2UvcG5nfGgyNC9oMDUvODgxNzUyMjA0OTA1NC5wbmd8ZjVlOWRhMTExYWFlZWVmOGJmYWFjMDBlNTNiZWVlOGU0YTUwOTk0YzViNzY1NmQyN2E3NmI1NTFiZDM0YmFiMA.png,27,null,1
COLGATE kit viaje cepillo y crema dental, 3.75,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTQxNzl8aW1hZ2UvcG5nfGgzYi9oYjMvODgzNTU1MDAxOTYxNC5wbmd8NGU3YzliYjA1YzE0ZjU1NDgzNjFiZjQ1OWQ4ZmEzN2NjYTAzYjdmM2MwYTg4YzIwMThlYmRhNmRlMWZkMzZiMQ.png,28,null,1
COLGATE TOTAL pasta dentífrica blanqueador avanzado tubo 75 ml, 2.35,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTIyMDV8aW1hZ2UvcG5nfGg2ZS9oYjYvODgzNDUyMjE1Mjk5MC5wbmd8MTE3ZWIyNzVkOTEyYTIyNmY0MjkxYmMxNzE5MTkxOTFjZDA4YTY1NzZiMTVkYjE2NmQ0ZTFiYTRlMTMzYjQyYg.png,29,null,1
COLGATE MAX WHITE pasta dentifrica One tubo 75ml, 2.7,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTAxNzd8aW1hZ2UvcG5nfGg0Mi9oNTQvODgzNTI5NjEzMzE1MC5wbmd8MGJkYzNkZDIzMzgzN2QzYzJhZjY2OTMwYjM5YzJhODJhYmY5NDNhZGQ5ZmQ0ZWU5NThiZTFiMWI2MTMzMjNhYw.png,30,null,1
COLGATE pasta dentifrica triple cool stripe tubo 75 ml, 1.0,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTA1NTB8aW1hZ2UvcG5nfGg2YS9oZjAvODgzNTI5OTgwMzE2Ni5wbmd8ODIzMzk3ZjgwZjZiNThhMDUzMzJjNDk4YTkyOTMzNmY3M2Q4ZDU2ZDEyYWJlNjg2OWU5ZTFkN2U3OGE2OGIyOQ.png,31,null,1
NIVEA MEN desodorante roll on antimanchas black&white envase 50ml, 2.55,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTE5NDF8aW1hZ2UvcG5nfGg2MS9oY2EvODgzNDU2NDM1ODE3NC5wbmd8YjRjZjRjYWQxNmFkNDJmZWVhYzI3NzFlZmMzMTVmMzZjYWM5ZmI2NmMzMzY2ZWM3YTQyYzAxNDE5ZmU3OWVmYQ.png,32,null,1
SANEX desodorante sensitive spray 200ml, 3.48,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8NTk1NnxpbWFnZS9wbmd8aGUwL2hkMy84ODMzNDU4NDcwOTQyLnBuZ3wzNzNhZGUwYTRhMzUwMmQ1Y2M1NjdkM2QzNmVkMzg4Y2QzYzUzOTRjNThhNjRkMDJjYTIzY2Q4NDZjNWJhZDk2.png,33,null,1
COLGATE PLAX enjuague bucal multiprotección botella 500ml, 4.49,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTE0MTh8aW1hZ2UvcG5nfGg1OC9oZGMvODgzNDUyNjg3MTU4Mi5wbmd8ZTQ3YjE1ZjQwZDg3Y2FiYWE1NjZiMDRlNTEyMThjYjIxZDZmZjBiZmM0MGI4M2VmOTI4YTQ4Njg2YWE1MmNhNA.png,34,null,1
NIVEA crema tarro soft 300 ml, 4.29,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTc1Mzl8aW1hZ2UvcG5nfGhmMi9oOTMvODgzMzgzOTEzNjc5OC5wbmd8ZmU3MmM4ODI2N2UxZjk5NzQwZWFjY2FmMDk3YTg5NmY0ZDNhMmQ4ZTU3ZjVhMGMyMzc0MzAzNTBiYWQzMWU4NA.png,35,null,1
NIVEA crema corporal triple accion hidratante botella 400ml, 4.99,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8ODUyMnxpbWFnZS9wbmd8aGJmL2hlMi84ODM0MTc5MDcyMDMwLnBuZ3wyMjQ5YjdmYWVjYWE0YTZiYzA3ZjNhMmI0ODA2ZmYyOGZkNTlmNGI2ODJlZjU0OWEyODc4NDY5YTUxMTQyOGM3.png,36,null,1
NIVEA desodorante men invisible power spray 200 ml, 3.35,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8ODQwNnxpbWFnZS9wbmd8aDNhL2g0ZC84ODM1MjkzNTExNzEwLnBuZ3wwYzQyNjg0ZTA0Y2Y2ZmIxOGRhZTFmYjA0YjMwMzA5ZjY4YmE2NTYxMDIzNzA2YTdkMzE4MjY2YWFmMDFjNDI1.png,37,null,1
NIVEA MEN espuma de afeitar extra hidratante spray 200 ml, 2.85,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8OTc4M3xpbWFnZS9wbmd8aGNmL2g3Ni84ODM1NjcxNTU2MTI2LnBuZ3xhN2EzMmRiYTg0YjQ4OTJkNmVjNDI5YzNhMzM3ZTMxNWQ5YmJlNjI3N2MwOGQzNTYwNjZhOWQ2ZTE4NDkwZTFl.png,38,null,1
NIVEA desodorante roll on antimanchas black&white envase 50ml, 2.55,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8ODgzNHxpbWFnZS9wbmd8aDY2L2g1Ny84ODM0OTIzODg4NjcwLnBuZ3xlYjNkNmM4ZDBkNDY0ZWYwMWUwOTg5YmEwMTY5YjYwMjM1ODcxNWU1NTg3YmRjOWQ1ZjRiMGUwNzBmMjU5Nzc4.png,39,null,1
SANEX desodorante extra control spray 200ml, 3.48,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8NjI1NnxpbWFnZS9wbmd8aDU2L2g0Ny84ODM1MzAyNDI0NjA2LnBuZ3wxMzU3ZDgxYjNlZmQ3NTdmNDE2YmI2ZTVhNmU2MzI5MmFkMWQ5ZTUzOTIwZTk5ZjQ1OGVkZTcyYjRjMDY1Mzg5.png,40,null,1
NIVEA crema reafirmante piel seca Q10 bote 400 ml, 5.75,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8OTAwNnxpbWFnZS9wbmd8aDg1L2gxZC84ODMzMTEzNDIzOTAyLnBuZ3w1ZWIyYzdmNjMyZDc4Y2VkOTljYmQ4MjkwZTczMTFkZTcyYjNkNzQ4NDJhNzNiNzNhOGQwYzlhOTZjYzc2YWM1.png,41,null,1
NIVEA crema antiarrugas dia tarro 50 ml, 8.1,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTU5OTl8aW1hZ2UvcG5nfGhhNC9oZGYvODgzNTMwNjA5NDYyMi5wbmd8ZDc1NDYyYmUyYTEyYWYxNjg4Y2E2N2U0OTg4MmQ4YzNlNzZhN2Q3MTg1OTFlYWQyNzI2ZWE5ZjA1Mjk3ZDMyZg.png,42,null,1
NIVEA desodorante stress protect spray 200 ml, 3.35,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8NjI5MHxpbWFnZS9wbmd8aGM2L2hmNy84ODMzODQwNzA5NjYyLnBuZ3wxZmMwZTQyMTZmNmUwNmQyYTJiODBjMGViNzVkMDA3ODQwZjBmOWEwYTA0Zjk1M2NiM2ViMjViZWFmMzE0OGQ0.png,43,null,1
NIVEA MEN desodorante stress protect spray 200 ml, 3.35,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8ODUxM3xpbWFnZS9wbmd8aDMwL2hiZS84ODM0MTc2Mzg1MDU0LnBuZ3w3OGY5ZTA4MWU2NzU3ZTU2NmNiYmY1YmM4MWRiZDE4ZDcwN2YzYjIwNzI1YmJhNWViMWUwZGZlYzYyNWZjZDll.png,44,null,1
NIVEA tónico suave bote 200 ml, 4.95,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8Njg3OHxpbWFnZS9wbmd8aDdmL2g3YS84ODM1NjgxNTE3NTk4LnBuZ3xiODYwNmMxZjI0OGIyZjk0MTRjMWUwOThjM2UwMzUxM2EzOWM3Mzg0OGFkODg0N2ExOGVjMzQwNjczY2VkZjEx.png,45,null,1
SANEX desodorante roll on invisible envase 50ml, 2.04,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTIzMjB8aW1hZ2UvcG5nfGgzMS9oNTMvODgzNDE5NDM0MTkxOC5wbmd8NjdkNmJjYmQ0YTFjOGE2MmQxZTY0MGViMzUxMzY5MDRjNmY3NjgxNzY5NDkxYWE5M2U4YjQ1MWNkYWZhODhjMw.png,46,null,1
SANEX desodorante roll on natur protect envase 50ml, 2.04,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTEyNDl8aW1hZ2UvcG5nfGhmMS9oZWQvODgzNDkzMDE4MDEyNi5wbmd8YjUzY2NkYjNjZDdhMGVmZjVmZjFjZDk3OGM2YzcwYzI4ZmZkNWI1MzM4MDMwNTZjNWE1NzgwY2MyODQ3OTBjZg.png,47,null,1
COLGATE enjuague bucal blanqueante botella 500ml, 4.49,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTA4NTl8aW1hZ2UvcG5nfGg5NS9oYzkvODgzMzQ2MDA0MzgwNi5wbmd8NDg3ZDVmZTk3MjhhZWI4ZTFkZTAxNTdhODRhZWEyMDM0OTQ2NGViYzc3MDUxM2Y0OTE1ZWNjYzE5YTdlMGU1Mg.png,48,null,1
COLGATE pasta dentifrica fluor+calcio pack 2 tubo 75ml, 2.9,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTM0NjJ8aW1hZ2UvcG5nfGgwYS9oMWYvODgzMzA5NzY5NTI2Mi5wbmd8MzQ4NTllZWVlYmExYzk0ZjhlN2UyOGNlZmY0NTdlYWQ0YTJlZDI1NWQ0NWY3MTM0Mzk1ZTkxNDY5NGRmMzNiMw.png,49,null,1
SANEX gel de baño dermo pro hydrate botella 1 lt, 3.49,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8ODYzNnxpbWFnZS9wbmd8aDliL2gwNS84ODIwNTgzMzY2Njg2LnBuZ3wwMWIxYjZhNzQ0MzEwZGQ2ZmI0M2EyY2M5ZDFjMGUzZjg2M2RhOGEyMTA0ZTk0NWIzN2YzNjk4ZmY1OGYwMTk4.png,50,null,1
NIVEA desodorante talc sensation spray 200 ml, 3.35,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8NjExNHxpbWFnZS9wbmd8aDk2L2g2Ny84ODE4MzE0Mzc5Mjk0LnBuZ3wwZGEwNDRlYzMwNTk1NThiZDc3MGU4YzY2ZThlZTdmODQ3ODhmZDcyNDcyMWNjOGE0NDUxOWQyMTQ5MDExMzZm.png,51,null,1
COLGATE pasta dentifrica maxima protección caries tubo 75 ml, 1.99,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTE2ODF8aW1hZ2UvcG5nfGhmZS9oYjAvODgxOTA4MjU1OTUxOC5wbmd8Mzc4ZTM5YmQwNTU1OGQ4YjNhYjFhZmZkZDczYTg5MTVlZTNiNWU3ZWVkOTljZjJmMmI2MDVkZDU0NTQxYzg5Mw.png,52,null,1
NIVEA FOR MEN after shave bálsamo regenerador frasco 100 ml, 5.25,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTg1MzB8aW1hZ2UvcG5nfGhmYS9oZmUvODgzMjgyMjIxNDY4Ni5wbmd8ZDVlYjY5N2Y4YmU1OTk1MWUwYzEyZDdlMjhhNzljYTEyNzk5YjJiZjgxYWMzMGNjMWFiZTgzNTM2YWQxYjZkNQ.png,53,null,1
GILLETTE SENSOR EXCEL recambio de maquinilla 2 hojas estuche 5 unidades, 8.77,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MzAwNjN8aW1hZ2UvcG5nfGhlOS9oZDEvODgzMzUzNTkwMTcyNi5wbmd8Y2VhMTY1NWVmNmRlOTE0NTVlZDE2NWJjNDgwMWRjMGVjZWJkOWZkZGI4NGFlMDZiMDJhYjNhN2EwODIxOTg5Mg.png,54,null,1
GILLETTE SERIES gel de afeitar piel sensible spray 200 ml, 3.55,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8OTA5NHxpbWFnZS9wbmd8aGM4L2g0Yi84ODMzNTU3Mzk3NTM0LnBuZ3wzM2ZiNjA3MjYyZGI3OTI2N2MwNDc0ZTA5OWYyNzdlYmQ1ZjhmNDk1NjcxM2Y3ZmFlMmY1ZTcyMDdjOWFhMTE1.png,55,null,1
COLGATE pasta dentrífica triple acción con flúor tubo 75 ml, 1.53,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8OTM1M3xpbWFnZS9wbmd8aGVmL2g4Yy84ODQ2ODgzNTIwNTQyLnBuZ3xlOWMzODVjZTcyN2ExYTQ4ZWFiMTViMTdhNmJjZjBhYTVlZDEwYWNlNGU4NmRlZDgzYmRmNWI1YWEzNzE0Mjc4.png,56,null,1
COLGATE MAXWHITE pasta dentrífica con micro cristales blancos tubo 75 ml, 1.79,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTAxMTd8aW1hZ2UvcG5nfGhmNy9oZjgvODg0NzA0MjUxMDg3OC5wbmd8YWJmMjQ0NmYwZWJiYmEwYTk2N2MwMDIxYjA0NjUxMGFiZDA2ZTFjZGE1YzkyNDhhYmUzNjJiMzlmNDE1ZWE2Zg.png,57,null,1
COLGATE pasta dentífrica herbal tubo 75 ml, 1.53,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8OTMwNHxpbWFnZS9wbmd8aDgzL2hiNS84ODQ2NzkzODAxNzU4LnBuZ3w0ZTE2NzAwZWJhMTFiMzkwMTA0ZDk5ODkyZWE4YmFkOGU1ZWQwMGU4ZTM0YmFjYjZhZjZjNjkyZjhhODdiZTIz.png,58,null,1
COLGATE pasta dentifrica max white one optic tubo 50 ml, 2.7,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTE5Njh8aW1hZ2UvcG5nfGgwZC9oMTUvODgxODMzOTAyMDgzMC5wbmd8OTVkNWM4NWIwN2UxZjJhYWRkYWFlMWI3Y2ZmYmQyYTBmODE1YzZkYjljYTZmYmZlMTA0ZDQ5NjZlMzRjYTZkMQ.png,59,null,1
COLGATE cepillo dental slim soft blister 1 unidad, 2.99,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8Nzg5OXxpbWFnZS9wbmd8aGUwL2hlMy84ODE2MDY0NDYyODc4LnBuZ3xlNGZlMzkxMDQxNDQ1ZDMxNDJkOTExZjFhNjkwMDhjZmY1M2UwNTNlOWM0MDZiNjc5YTEzZGVmMGZkNzE5YWM5.png,60,null,1
SANEX gel de baño dermo protector botella 600 ml, 2.8,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8OTM1OHxpbWFnZS9wbmd8aGNhL2g1Ny84ODIwNjIzMTQ3MDM4LnBuZ3xhYjRhZmYzOTg1MDcwNTg2MmYzZTNjZTA5NGVjMTBkZTZhMjcxZTk3YjkwMzQzMjIwODExNmZhNmVjYTczYzk1.png,61,null,1
